total_events,total_sessions,active_days,core_events,payment_status,cluster,gender,is_push_on,ban_status,report_count,alarm_count,pending_chat,pending_votes,friend_id_count,block_user_id_count,hide_user_id_count,class,id,osname,school_grade,province
5250,317,24,1088.0,False,2,F,1,N,0,0,0,1,42,0,0,1.0,204022,iOS,M2.0,Gyeongbuk
4793,338,24,1205.0,False,2,F,1,N,0,1,0,0,53,0,167,1.0,12342,iOS,M3.0,Gyeongbuk
4465,254,24,804.0,False,2,F,1,N,2,0,0,0,10,0,1,4.0,171905,iOS,H2.0,Daegu
4302,144,24,829.0,False,2,F,1,N,0,0,0,0,24,0,0,5.0,3829,Android,M2.0,Gyeonggi
4145,401,24,1537.0,False,2,M,0,N,1,0,0,0,21,19,0,8.0,12970,Android,H1.0,Gyeonggi
3798,304,24,941.0,False,2,F,1,N,0,0,0,2232,37,35,0,8.0,11461,iOS,H1.0,Gyeonggi
3731,216,24,770.0,False,2,F,1,N,0,0,12,64,31,0,0,1.0,397878,iOS,M2.0,Gyeongbuk
3137,296,24,1031.0,False,2,F,1,N,0,0,0,0,51,0,0,7.0,19338,Android,H2.0,Seoul
3135,172,24,502.0,False,2,F,1,N,0,1,0,2,39,0,0,1.0,47951,Android,M3.0,Chungnam
2999,251,24,378.0,False,2,M,1,N,0,1,0,0,37,0,0,4.0,27194,Android,M3.0,Gyeonggi
2894,159,24,499.0,False,2,F,1,N,1,51,0,0,106,0,3,7.0,7972,iOS,M2.0,Incheon
2738,186,24,504.0,False,2,F,1,N,0,0,0,10,18,0,0,1.0,514928,iOS,M3.0,Gyeonggi
2598,277,24,741.0,False,2,M,1,N,0,1,1,5,45,0,0,2.0,106171,Android,M3.0,Daegu
2590,96,16,330.0,False,2,F,1,N,0,1,1,0,80,0,0,1.0,217919,iOS,M2.0,Gyeonggi
2513,126,23,337.0,False,2,F,1,N,0,0,3,4,47,0,0,1.0,487098,iOS,M3.0,Gyeonggi
2475,147,24,1078.0,False,2,F,1,N,0,0,0,0,73,0,0,1.0,188015,iOS,M2.0,Chungbuk
2455,80,20,279.0,False,2,F,1,N,0,1,0,210,51,0,0,1.0,278018,iOS,M3.0,Chungbuk
2405,391,24,729.0,False,2,F,1,N,0,0,0,0,23,0,0,3.0,524,Android,H1.0,Gyeongbuk
2281,119,19,352.0,False,2,F,0,N,0,0,0,0,57,0,0,7.0,272529,iOS,M3.0,Busan
2250,210,24,107.0,False,2,F,1,N,0,2,0,5,103,0,0,13.0,181562,Android,M2.0,Gyeonggi
2094,168,24,1026.0,False,2,M,1,N,0,1,0,19,69,0,0,1.0,261717,iOS,M2.0,Gyeonggi
2050,179,24,295.0,False,2,F,1,N,0,0,0,261,44,0,0,2.0,257778,iOS,M3.0,Chungbuk
2034,122,22,516.0,False,2,F,1,N,0,2,0,12,29,0,0,1.0,272871,Android,M2.0,Gyeongnam
1991,76,18,93.0,False,2,F,1,N,0,0,3,0,6,0,0,4.0,416969,iOS,M3.0,Gyeonggi
1921,165,24,252.0,False,2,F,1,N,0,0,0,1,46,0,0,1.0,99602,iOS,M2.0,Gyeonggi
1883,118,22,342.0,False,2,F,1,N,0,0,0,6,20,0,0,1.0,508902,Android,M2.0,Gyeonggi
1879,119,24,143.0,False,2,F,1,N,0,0,0,52,85,0,1,8.0,366613,Android,H1.0,Daejeon
1868,205,22,58.0,False,2,M,1,N,0,0,0,423,122,0,0,3.0,48178,Android,M3.0,Gyeonggi
1849,66,12,195.0,False,2,F,0,N,0,0,0,1,66,0,0,4.0,3764,Android,M2.0,Busan
1828,71,8,440.0,False,2,M,1,N,0,0,0,4,33,0,0,4.0,428054,Android,M3.0,Busan
1746,112,22,358.0,False,2,F,1,N,0,2,0,0,35,0,0,1.0,127379,iOS,M2.0,Gyeongnam
1727,250,24,645.0,False,2,F,0,N,0,0,0,0,15,0,0,2.0,5932,Android,H1.0,Gyeongbuk
1702,84,16,681.0,False,2,F,1,N,0,1,0,0,40,0,1,1.0,11830,iOS,M3.0,Gyeonggi
1689,205,23,495.0,False,2,F,1,N,0,0,0,80,125,0,0,1.0,9572,iOS,M2.0,Gyeongbuk
1678,116,23,160.0,False,2,M,1,N,0,0,0,5,110,0,0,8.0,75939,iOS,H2.0,Gwangju
1669,165,24,337.0,False,2,F,0,N,0,0,0,0,32,0,1,1.0,23244,iOS,H3.0,Gangwon
